Team,Year,Games played,Total points,Goals z score,Goals Openplay z score,Goals from Inside Box z score,Home Goals z score,Away Goals z score,Goal Assists z score,Key Passes (Attempt Assists) z score,Total Shots z score,Shots On Target ( inc goals ) z score,Goal Conversion z score,Possession Percentage z score,Total Passes z score,Open Play Passes z score,Successful Open Play Passes z score,Successful Passes Opposition Half z score,Passing Accuracy z score,Passing % Opp Half z score,Corners Won z score,Successful Crosses open play z score,Clean Sheets z score,Blocked Shots z score,Number of Defensive Actions z score,Duels won z score,Shots On Conceded Inside Box z score,Goals Conceded Inside Box z score,Goals Conceded z score,Total losses z score,Red cards z score,Total Red Cards z score,Straight Red Cards z score,Penalty conceded z score,Penalty Goals Conceded z score,Own Goals Conceded z score,GK Successful Distribution z score,GK Unsuccessful Distribution z score
Pacific,2025,28,23,-1.396017061630565,-1.4484690989549298,-1.1603389421469643,-0.740971538222214,-1.950835532595527,-1.7812144032309725,-1.2944385746031042,-1.3383930166471956,-1.2673104695820905,-1.056767474271647,-0.6386519762444869,-0.6541217832681562,-0.6781328987633878,-0.6744182631288144,-1.2395243556398787,-0.536330396841264,-0.8437766930259396,-0.46113341289716736,-0.6280964023553329,-0.9689133621992607,-1.7939736456167712,-1.346060150754947,-0.8339264323836513,1.0588757489619771,1.1132676889724404,1.074565997094379,0.9165260435895728,-0.15811388300841897,-0.40895890595459833,,1.3435028842544403,1.3435028842544403,-0.6454972243679027,1.064090551838098,-0.4718318872387743
Valour,2022,28,37,-0.04510385844931978,,0.17021606837715067,-0.8400268812903089,0.5864025277301437,-0.05172853157197942,0.14024407481300608,0.334836682047602,0.21689400810692808,-0.19036511173409393,0.35043832202523123,-0.20321139088500373,-0.16680222988029522,-0.1847855591551216,-0.18603610166842036,-0.22999473153015929,-0.23450283721842538,-0.07076123992570088,-1.2503675930089755,0.10801234497346433,0.42185038399754154,,-0.2489367434425635,-0.3646916505762094,-0.5400617248673217,-0.34596959434638413,0.10240126289167979,1.9742662618621818,1.9742662618621818,0.1950473744013735,-0.14648469431164107,-0.5,0.0,-1.4739234618081,0.6171534159813725
Valour,2023,28,26,-1.5281735717544669,,-1.3209126396778612,-0.9892779619884137,-1.1067971810589328,-1.4101901870444156,-0.5690581262363671,-0.7935706167425467,-1.2884830406636474,-1.706368501808437,0.7127864449672372,0.031648327267455374,0.06640321217841733,-0.02691283035969526,0.434686118009559,-0.310646830452649,-0.14605855407143037,-0.27255579419553627,0.4277587740081495,-0.21213203435596426,-1.0374439746441533,,0.7044733194673719,0.8538906627395711,0.26577107985318155,0.01952597287096687,1.0353139620424328,-0.9946464738992448,,,-0.8400268812903089,-1.1102904049421398,,-0.9176862085267125,0.4338523115842544
Valour,2024,28,28,-0.816496580927726,,-1.0990095931744956,-1.1999576741971194,0.23145502494313785,-0.48578574633571975,-1.3152413704953405,-1.1922851690872338,-0.683276468198723,0.35258340428973145,-1.706213211182172,-1.505714861562349,-1.5381226276475584,-1.463155601551734,-1.4453643577224533,-1.1938836073352022,-1.2929132543640485,-1.9855004461711463,-0.5682175455222245,-1.2165477380982326,-1.2609579341425274,,-1.3494251852964112,0.9155360765639683,1.0584257893282607,0.9216911430120158,1.1846309617192678,-0.4545686450484948,-0.6835067426013202,-0.5039526306789694,2.055602712725106,2.055602712725106,0.7905694150420948,-0.424176818454093,1.2662370095616229
Valour,2025,28,26,-0.8974395396196488,-0.6352934644539167,-1.053641108386324,-1.3192907875663809,0.0274765567971201,-0.19791271147010805,-0.7158070730464179,-0.5243996030138135,-0.5005343871458676,-1.2684517257689396,-0.7736973280494889,-0.7844730908217944,-0.7458205962323134,-0.6685601240354044,-0.6542217018126668,-0.1862480681568163,-0.10268181978622483,-1.3963899122942391,-0.24157553936743575,-1.203801450005142,0.030824289443587134,-0.21423780177180837,-1.1304336083422828,1.1138822813755864,1.5073447470157824,1.2894791965132548,1.0953603935582699,1.1067971810589328,1.0223972648864954,-0.5773502691896256,1.3435028842544403,1.3435028842544403,1.2909944487358058,-1.2888053267604294,0.24115852014426242
Vancouver FC,2023,28,29,-1.172094292899057,,-1.0631735880334006,-0.1473392709344446,-1.4230249470757705,-1.1281521496355325,-1.4907228214903603,-1.2206041324784462,-1.2353497193991672,-0.7260900037755337,-1.6631683715902201,-1.5624409256429204,-1.6041178489138426,-1.6083454685281109,-1.6499554095159334,-1.8530329981603868,-1.9178716679472967,-1.0654453773098236,-1.836846500152642,-1.3435028842544403,-0.9831985380614525,,-1.1470270714404647,1.6928007875363429,1.9363321532160371,1.8940193684837863,1.3311179511974136,0.5967878843395469,0.45972849981491726,0.8777472595071586,1.8480591388386796,1.8042219080309774,-0.6454972243679028,-1.465255879912817,1.9970453731702702
Vancouver FC,2024,28,30,-1.0886621079036347,,-1.392078818021028,-1.1999576741971194,-0.38575837490522974,-0.6297222637685256,-0.6246126971850459,-0.7606887277886876,-1.221615503749232,-0.5903722118339679,-0.5192822816641393,-1.1716492182900502,-1.1612225475041367,-1.1803081593032878,-1.0347187831919618,-1.3353154460570063,-1.2298122516091154,-0.32271219373029647,-0.13112712588974412,-0.8560891490320895,-0.4108739335970033,,-0.8276281211646087,1.1868060251755146,1.3840952629677254,1.106029371614419,0.6102644348250774,-0.050507627227610534,-0.2485479064004801,-0.5039526306789694,0.4641683544863142,0.4641683544863142,,-1.3290873644894914,1.59727936500257
Vancouver FC,2025,28,21,-0.8974395396196488,-0.83858737307917,-0.8402454408650432,-1.3192907875663809,0.0274765567971201,-0.9175952986341374,-1.0350520394225207,-1.1505483827317997,-1.2673104695820905,0.08765051038559835,-0.8862351212203236,-1.084070854150721,-1.086374324122846,-1.0988670683513315,-1.4065596837622618,-1.5139993391429474,-1.9003577372030382,-0.09742255202052831,-0.959399999202102,-1.203801450005142,0.2774186049922842,-0.3759267087693996,-0.7292768408688401,1.2238953462028048,0.6403752193204304,0.9312905308151285,0.9165260435895728,1.1067971810589328,1.0223972648864954,1.1547005383792517,-0.9192388155425117,-0.9192388155425117,1.2909944487358058,-1.2623682944166257,1.5413174983133293
York United,2022,28,34,-0.6464886377735835,,-0.510648205131452,-0.39201254460214413,-0.6298397520064506,0.08621421928663238,0.7012203740650303,0.4687713548666428,-0.21689400810692808,-0.8366340961673258,-0.35043832202523123,-0.5884331206226855,-0.5730992549003033,-0.5064631251934277,-0.39370430818200586,0.04070269236034955,-0.009380113488736687,-0.42456743955420523,1.342987414713344,-0.7560864148142503,-0.02220265178934429,,0.21863140076259927,-0.4414688401712008,0.46805349488501213,0.09104463009115371,0.3754712972694926,0.8461141122266493,0.8461141122266493,1.7554263696123615,1.0253928601814875,1.0,-0.6454972243679028,-0.04606010818150313,0.13152449848783349
York United,2023,29,38,-0.34124264223643436,,-0.547695484744479,-1.3260534384100013,0.7905694150420948,-0.42305705611332467,-0.15011962839364285,-0.16725479366322735,-0.2258166153740413,-0.3294191696878004,0.23759548165574573,0.031648327267455374,0.024974289863329283,0.10157423071239824,-0.1301247527095941,0.48618694416874453,0.3972246657456717,0.1238889973616074,-0.22646052741607917,-1.3435028842544403,-0.27800786248634174,,0.08128538301546599,0.4943577521123833,0.7213786453157786,1.1129804536451116,0.4437059837324712,2.1882222425783384,2.0687782491671274,1.6301020533704373,-0.8400268812903089,-1.1102904049421398,-0.6454972243679028,0.29913528344240903,-0.28150722507375286
York United,2024,30,39,0.2721655269759087,,0.21980191863489915,0.5777573986875019,-0.38575837490522974,0.9535794279923389,-1.2136783303026502,-1.1707053470223066,-1.263026198791579,1.9474083376467697,0.6676486478538933,0.8958299988715589,0.8508665962965428,0.8168342305408997,0.16804049168287213,0.6358908061280962,0.355600442608517,0.4649243468995797,0.3059632937427363,-0.13517197089980362,-1.2609579341425274,,-0.5029543923714873,0.30517869218798943,0.0814173684098662,0.18433822860240315,0.32308117137798215,-0.050507627227610534,-0.2485479064004801,-0.5039526306789694,-0.06630976492661632,-0.06630976492661632,-0.7905694150420948,0.7974524186936949,-0.15724511883444992
York United,2025,30,38,0.19943100880436643,0.68611694161023,0.22673289674136085,0.41566696046612,-0.1923358975798407,0.23389684082830953,-0.2768452442792766,-0.14871033518302174,0.26624169529035513,0.8682361877818686,-0.4810990658053176,-0.007621346610999008,-0.05783860867706056,-0.0023299416848789364,-0.036326788839623946,0.3559526116349438,0.3229268825160976,-0.8768029681847548,0.5314661866083586,0.4404151646360276,-0.36372661543432816,1.2086245798069943,0.020711898320639705,-0.20627449655103453,-0.3054097199835899,0.0,0.02235429374608714,-0.7905694150420948,-1.1246369913751453,,0.7778174593052023,0.7778174593052023,-0.6454972243679027,-0.12557590363306748,0.660564642134284
