Season,Date,Hometeam,Awayteam,Homescore,Awayscore,Status,Venue,Result,Home_Prior,Away_Prior
2023,2023-06-22T02:00:00Z,Pacific,Valour,1,0,FINISHED,Starlight Stadium,0,26.9346063904175,-8.9261670237078
2023,2023-06-24T21:00:00Z,Cavalry,Inter Toronto,2,1,FINISHED,ATCO Field,0,34.32551483663788,-0.8861592625751535
2023,2023-06-25T19:00:00Z,Valour,Vancouver FC,1,0,FINISHED,Princess Auto Stadium,0,-8.9261670237078,-54.84330108091755
2023,2023-06-25T22:00:00Z,Forge,Atlético Ottawa,4,3,FINISHED,Hamilton Stadium,0,26.148907774458785,-29.05490347928361
2023,2023-06-30T22:00:00Z,HFX Wanderers,Forge,2,1,FINISHED,Wanderers Grounds,0,5.848487430554887,26.148907774458785
2023,2023-07-01T01:30:00Z,Pacific,Atlético Ottawa,2,2,FINISHED,Starlight Stadium,1,26.9346063904175,-29.05490347928361
2023,2023-07-01T19:00:00Z,Valour,Cavalry,0,2,FINISHED,Princess Auto Stadium,2,-8.9261670237078,34.32551483663788
2023,2023-07-02T20:30:00Z,Vancouver FC,Inter Toronto,1,2,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-54.84330108091755,-0.8861592625751535
2023,2023-07-08T02:00:00Z,Vancouver FC,HFX Wanderers,2,1,FINISHED,Willoughby Community Park at the Langley Events Centre,0,-54.84330108091755,5.848487430554887
2023,2023-07-09T01:00:00Z,Pacific,Cavalry,1,2,FINISHED,Starlight Stadium,2,26.9346063904175,34.32551483663788
2023,2023-07-09T19:00:00Z,Atlético Ottawa,Valour,2,0,FINISHED,TD Place Stadium,0,-29.05490347928361,-8.9261670237078
2023,2023-07-09T23:30:00Z,Inter Toronto,Forge,0,4,FINISHED,York Lions Stadium,2,-0.8861592625751535,26.148907774458785
2023,2023-07-11T23:00:00Z,HFX Wanderers,Pacific,2,1,FINISHED,Wanderers Grounds,0,5.848487430554887,26.9346063904175
2023,2023-07-13T00:30:00Z,Cavalry,Atlético Ottawa,0,2,FINISHED,ATCO Field,2,34.32551483663788,-29.05490347928361
2023,2023-07-14T23:30:00Z,Inter Toronto,Pacific,0,0,FINISHED,York Lions Stadium,1,-0.8861592625751535,26.9346063904175
2023,2023-07-15T20:00:00Z,Cavalry,HFX Wanderers,1,0,FINISHED,ATCO Field,0,34.32551483663788,5.848487430554887
2023,2023-07-15T23:00:00Z,Forge,Valour,1,1,FINISHED,Hamilton Stadium,1,26.148907774458785,-8.9261670237078
2023,2023-07-16T18:00:00Z,Atlético Ottawa,Vancouver FC,3,1,FINISHED,TD Place Stadium,0,-29.05490347928361,-54.84330108091755
2023,2023-07-22T02:00:00Z,Pacific,Forge,0,2,FINISHED,Starlight Stadium,2,26.9346063904175,26.148907774458785
2023,2023-07-22T23:00:00Z,Vancouver FC,Cavalry,1,5,FINISHED,Willoughby Community Park at the Langley Events Centre,2,-54.84330108091755,34.32551483663788
2023,2023-07-23T20:00:00Z,HFX Wanderers,Atlético Ottawa,1,0,FINISHED,Wanderers Grounds,0,5.848487430554887,-29.05490347928361
2023,2023-07-23T23:00:00Z,Valour,Inter Toronto,1,2,FINISHED,Princess Auto Stadium,2,-8.9261670237078,-0.8861592625751535
2023,2023-07-28T23:00:00Z,Forge,Vancouver FC,2,0,FINISHED,Hamilton Stadium,0,26.148907774458785,-54.84330108091755
2023,2023-07-29T20:00:00Z,Valour,Pacific,0,3,FINISHED,Princess Auto Stadium,2,-8.9261670237078,26.9346063904175
2023,2023-07-29T23:00:00Z,Atlético Ottawa,Cavalry,1,0,FINISHED,TD Place Stadium,0,-29.05490347928361,34.32551483663788
2023,2023-07-30T18:00:00Z,Inter Toronto,HFX Wanderers,0,2,FINISHED,York Lions Stadium,2,-0.8861592625751535,5.848487430554887
2023,2023-08-05T01:00:00Z,Cavalry,Forge,3,0,FINISHED,ATCO Field,0,34.32551483663788,26.148907774458785
2023,2023-08-05T23:00:00Z,Atlético Ottawa,Inter Toronto,3,3,FINISHED,TD Place Stadium,1,-29.05490347928361,-0.8861592625751535
2023,2023-08-06T21:00:00Z,Vancouver FC,Valour,0,0,FINISHED,Willoughby Community Park at the Langley Events Centre,1,-54.84330108091755,-8.9261670237078
2023,2023-08-07T18:00:00Z,HFX Wanderers,Pacific,1,2,FINISHED,Wanderers Grounds,2,5.848487430554887,26.9346063904175
2023,2023-08-12T00:00:00Z,Valour,Cavalry,3,2,FINISHED,Princess Auto Stadium,0,-8.9261670237078,34.32551483663788
2023,2023-08-12T19:00:00Z,HFX Wanderers,Vancouver FC,3,0,FINISHED,Wanderers Grounds,0,5.848487430554887,-54.84330108091755
2023,2023-08-12T23:00:00Z,Forge,Inter Toronto,3,3,FINISHED,Hamilton Stadium,1,26.148907774458785,-0.8861592625751535
2023,2023-08-13T20:30:00Z,Pacific,Atlético Ottawa,0,1,FINISHED,Starlight Stadium,2,26.9346063904175,-29.05490347928361
2023,2023-08-19T00:00:00Z,Valour,Atlético Ottawa,1,3,FINISHED,Princess Auto Stadium,2,-8.9261670237078,-29.05490347928361
2023,2023-08-19T20:00:00Z,Vancouver FC,Pacific,3,2,FINISHED,Willoughby Community Park at the Langley Events Centre,0,-54.84330108091755,26.9346063904175
