match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok,HomeScore,AwayScore,home_form_pts,away_form_pts,home_form_gd,away_form_gd,diff_form_pts,diff_form_gd
2022_2022-06-25_Pacific_vs_HFX_Wanderers,2022,2022-06-25 21:00:00+00:00,Pacific,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Pacific,55.0,55.0,1.0,True,0,3,0.6,1.2,-0.8,-1.2,-0.6,0.3999999999999999
2022_2022-06-26_York_United_vs_Valour,2022,2022-06-26 16:00:00+00:00,York,Valour,0.0,0.0,0.0,55.0,55.0,True,home,Valour,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,1,3,0.6,0.4,-0.4,-0.8,0.19999999999999996,0.4
2022_2022-06-26_Cavalry_vs_Edmonton,2022,2022-06-26 23:00:00+00:00,Cavalry,Edmonton,-70347.5414,-70347.5414,-70347.5414,16914.2325,87261.7739,True,home,Edmonton,16914.2325,16914.2325,1.0,True,away,Cavalry,87261.7739,87261.7739,1.0,True,3,1,2.6,0.8,1.0,-0.4,1.8,1.4
2022_2022-06-29_Forge_vs_Valour,2022,2022-06-29 23:00:00+00:00,Forge,Valour,476.4485000000004,476.4485000000004,476.4485000000004,16663.1768,16186.7283,True,home,Valour,16663.1768,16663.1768,1.0,True,away,Forge,16186.7283,16186.7283,1.0,True,0,1,2.6,1.0,2.2,-0.2,1.6,2.4000000000000004
2022_2022-06-30_HFX_Wanderers_vs_Atlético_Ottawa,2022,2022-06-30 22:30:00+00:00,Wanderers,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,0,2,1.8,2.0,0.2,0.4,-0.19999999999999996,-0.2
2022_2022-07-01_Pacific_vs_Cavalry,2022,2022-07-01 01:30:00+00:00,Pacific,Cavalry,-438.9266000000025,-438.9266000000025,-438.9266000000025,16518.6206,16957.5472,True,home,Cavalry,16518.6206,16518.6206,1.0,True,away,Pacific,16957.5472,16957.5472,1.0,True,3,3,0.4,3.0,-1.4,1.4,-2.6,-2.8
2022_2022-07-01_Edmonton_vs_York_United,2022,2022-07-01 22:00:00+00:00,Edmonton,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Edmonton,55.0,55.0,1.0,True,3,0,0.8,0.4,-0.6,-0.8,0.4,0.20000000000000007
2022_2022-07-03_Forge_vs_Atlético_Ottawa,2022,2022-07-03 20:00:00+00:00,Forge,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,Forge,55.0,55.0,1.0,True,0,1,2.4,2.0,2.0,0.6,0.3999999999999999,1.4
2022_2022-07-08_York_United_vs_Forge,2022,2022-07-08 23:30:00+00:00,York,Forge,0.0,0.0,0.0,55.0,55.0,True,home,Forge,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,0,2,0.4,1.8,-1.2,1.0,-1.4,-2.2
2022_2022-07-09_Edmonton_vs_Pacific,2022,2022-07-09 20:00:00+00:00,Edmonton,Pacific,68718.4345,68718.4345,68718.4345,85233.859,16515.4245,True,home,Pacific,85233.859,85233.859,1.0,True,away,Edmonton,16515.4245,16515.4245,1.0,True,2,3,1.4,0.4,0.2,-1.4,0.9999999999999999,1.5999999999999999
2022_2022-07-09_Atlético_Ottawa_vs_Cavalry,2022,2022-07-09 23:00:00+00:00,Atlético,Cavalry,0.0,0.0,0.0,55.0,55.0,True,home,Cavalry,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,1,1,2.0,2.6,0.6,1.2,-0.6000000000000001,-0.6
2022_2022-07-10_Valour_vs_HFX_Wanderers,2022,2022-07-10 19:00:00+00:00,Valour,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Valour,55.0,55.0,1.0,True,1,0,1.4,1.2,0.0,-0.4,0.19999999999999996,0.4
2022_2022-07-15_Cavalry_vs_HFX_Wanderers,2022,2022-07-15 00:30:00+00:00,Cavalry,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Cavalry,55.0,55.0,1.0,True,3,0,2.2,1.2,1.0,-0.4,1.0000000000000002,1.4
2022_2022-07-15_York_United_vs_Pacific,2022,2022-07-15 23:30:00+00:00,York,Pacific,0.0,0.0,0.0,55.0,55.0,True,home,Pacific,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,2,4,0.4,1.0,-1.4,-1.0,-0.6,-0.3999999999999999
2022_2022-07-19_Forge_vs_Edmonton,2022,2022-07-19 22:45:00+00:00,Forge,Edmonton,-65426.5709,-65426.5709,-65426.5709,16524.3237,81950.8946,True,home,Edmonton,16524.3237,16524.3237,1.0,True,away,Forge,81950.8946,81950.8946,1.0,True,5,1,1.8,1.2,1.2,0.0,0.6000000000000001,1.2
2022_2022-07-20_Cavalry_vs_York_United,2022,2022-07-20 01:30:00+00:00,Cavalry,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Cavalry,55.0,55.0,1.0,True,0,1,2.2,0.2,1.4,-1.8,2.0,3.2
2022_2022-07-20_Atlético_Ottawa_vs_Valour,2022,2022-07-20 23:00:00+00:00,Atlético,Valour,0.0,0.0,0.0,55.0,55.0,True,home,Valour,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,1,1,1.6,2.0,0.4,0.4,-0.3999999999999999,0.0
2022_2022-07-23_Pacific_vs_Cavalry,2022,2022-07-23 02:00:00+00:00,Pacific,Cavalry,-375.1971000000012,-375.1971000000012,-375.1971000000012,16585.5461,16960.7432,True,home,Cavalry,16585.5461,16585.5461,1.0,True,away,Pacific,16960.7432,16960.7432,1.0,True,3,0,1.6,1.6,0.0,0.8,0.0,-0.8
2022_2022-07-23_HFX_Wanderers_vs_Edmonton,2022,2022-07-23 17:30:00+00:00,Wanderers,Edmonton,0.0,0.0,0.0,55.0,55.0,True,home,Edmonton,55.0,55.0,1.0,True,away,Wanderers,55.0,55.0,1.0,True,1,1,0.6,1.2,-1.2,-0.6,-0.6,-0.6
2022_2022-07-23_Forge_vs_Valour,2022,2022-07-23 20:30:00+00:00,Forge,Valour,236.83710000000065,236.83710000000065,236.83710000000065,16562.4185,16325.5814,True,home,Valour,16562.4185,16562.4185,1.0,True,away,Forge,16325.5814,16325.5814,1.0,True,3,1,1.8,2.0,1.4,0.4,-0.19999999999999996,0.9999999999999999
2022_2022-07-24_York_United_vs_Atlético_Ottawa,2022,2022-07-24 18:00:00+00:00,York,Atlético,0.0,0.0,0.0,55.0,55.0,True,home,Atlético,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,0,3,0.6,1.6,-1.6,0.4,-1.0,-2.0
2022_2022-07-28_Cavalry_vs_Forge,2022,2022-07-28 01:00:00+00:00,Cavalry,Forge,205.6847999999991,205.6847999999991,205.6847999999991,16855.771,16650.0862,True,home,Forge,16855.771,16855.771,1.0,True,away,Cavalry,16650.0862,16650.0862,1.0,True,1,2,1.0,1.8,-0.2,1.2,-0.8,-1.4
2022_2022-07-30_Valour_vs_Pacific,2022,2022-07-30 19:00:00+00:00,Valour,Pacific,-452.6046000000006,-452.6046000000006,-452.6046000000006,16237.9138,16690.5184,True,home,Pacific,16237.9138,16237.9138,1.0,True,away,Valour,16690.5184,16690.5184,1.0,True,1,2,2.0,2.0,0.4,0.6,0.0,-0.19999999999999996
2022_2022-07-30_Cavalry_vs_Edmonton,2022,2022-07-30 22:00:00+00:00,Cavalry,Edmonton,-63443.0647,-63443.0647,-63443.0647,16724.2997,80167.3644,True,home,Edmonton,16724.2997,16724.2997,1.0,True,away,Cavalry,80167.3644,80167.3644,1.0,True,2,0,0.8,0.8,-0.4,-0.8,0.0,0.4
2022_2022-07-31_Atlético_Ottawa_vs_Forge,2022,2022-07-31 23:00:00+00:00,Atlético,Forge,0.0,0.0,0.0,55.0,55.0,True,home,Forge,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,0,4,2.2,2.4,1.2,1.6,-0.19999999999999973,-0.40000000000000013
