match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok
2022_2022-08-01_HFX_Wanderers_vs_York_United,2022,2022-08-01T18:00:00Z,Wanderers,York,181.9400000000005,181.9400000000005,181.9400000000005,16214.11,16032.17,True,home,York,16214.11,16214.11,1.0,True,away,Wanderers,16032.17,16032.17,1.0,True
2022_2022-08-04_Valour_vs_Cavalry,2022,2022-08-04T00:00:00Z,Valour,Cavalry,-282.9200000000019,-282.9200000000019,-282.9200000000019,16419.92,16702.84,True,home,Cavalry,16419.92,16419.92,1.0,True,away,Valour,16702.84,16702.84,1.0,True
2022_2022-08-06_Forge_vs_HFX_Wanderers,2022,2022-08-06T20:00:00Z,Forge,Wanderers,787.3799999999992,787.3799999999992,787.3799999999992,16910.41,16123.03,True,home,Wanderers,16910.41,16910.41,1.0,True,away,Forge,16123.03,16123.03,1.0,True
2022_2022-08-07_Atlético_Ottawa_vs_Edmonton,2022,2022-08-07T18:37:00Z,Atlético,Edmonton,-69113.05,-69113.05,-69113.05,16716.26,85829.31,True,home,Edmonton,16716.26,16716.26,1.0,True,away,Atlético,85829.31,85829.31,1.0,True
2022_2022-08-07_Valour_vs_York_United,2022,2022-08-07T21:00:00Z,Valour,York,380.59999999999854,380.59999999999854,380.59999999999854,16503.85,16123.25,True,home,York,16503.85,16503.85,1.0,True,away,Valour,16123.25,16123.25,1.0,True
2022_2022-08-13_Cavalry_vs_Forge,2022,2022-08-13T01:00:00Z,Cavalry,Forge,-352.5499999999993,-352.5499999999993,-352.5499999999993,16619.02,16971.57,True,home,Forge,16619.02,16619.02,1.0,True,away,Cavalry,16971.57,16971.57,1.0,True
2022_2022-08-13_HFX_Wanderers_vs_Valour,2022,2022-08-13T18:00:00Z,Wanderers,Valour,-511.71999999999935,-511.71999999999935,-511.71999999999935,16061.76,16573.48,True,home,Valour,16061.76,16061.76,1.0,True,away,Wanderers,16573.48,16573.48,1.0,True
2022_2022-08-13_Pacific_vs_Atlético_Ottawa,2022,2022-08-13T21:00:00Z,Pacific,Atlético,45.54000000000087,45.54000000000087,45.54000000000087,16800.74,16755.2,True,home,Atlético,16800.74,16800.74,1.0,True,away,Pacific,16755.2,16755.2,1.0,True
2022_2022-08-14_York_United_vs_Edmonton,2022,2022-08-14T20:00:00Z,York,Edmonton,-67807.47,-67807.47,-67807.47,16053.62,83861.09,True,home,Edmonton,16053.62,16053.62,1.0,True,away,York,83861.09,83861.09,1.0,True
2022_2022-08-17_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-08-17T23:00:00Z,Atlético,Wanderers,527.8899999999976,527.8899999999976,527.8899999999976,16678.42,16150.53,True,home,Wanderers,16678.42,16678.42,1.0,True,away,Atlético,16150.53,16150.53,1.0,True
