match_id,fatigue_home,fatigue_away,travel_km_away,tz_change_away,weather_temp,weather_rain_prob,avg_goals_home,avg_goals_away,rain_impact_home,rain_impact_away
2022-06-12_Forge_vs_Pacific,2.3511,0.2035,407.0,0,22.0,0.35,2.4,1.2,0.84,0.42
2022-06-14_Atlético_vs_York,0.0,0.9769,953.8,-1,22.0,0.35,1.2,0.2,0.42,0.06999999999999999
2022-06-15_Edmonton_vs_Wanderers,1.0987,3.1501,300.2,0,18.0,0.4,1.2,0.6,0.48,0.24
2022-06-16_Valour_vs_Cavalry,0.0,2.6033,1206.5,1,21.0,0.35,1.0,1.8,0.35,0.63
2022-06-18_York_vs_Pacific,3.1762,0.0318,63.7,0,22.0,0.35,0.0,1.0,0.0,0.35
2022-06-19_Wanderers_vs_Forge,4.8412,1.1538,1307.6,1,17.0,0.35,1.0,2.4,0.35,0.84
2022-06-19_Edmonton_vs_Atlético,1.5,3.9192,2838.5,-2,18.0,0.4,1.4,1.2,0.5599999999999999,0.48
2022-06-25_Pacific_vs_Wanderers,3.1917,4.242,4484.0,-4,17.0,0.15,0.6,0.6,0.09,0.09
2022-06-26_York_vs_Valour,0.0,1.248,1496.0,1,22.0,0.35,0.0,1.2,0.0,0.42
2022-06-26_Cavalry_vs_Edmonton,1.1033,0.1501,300.2,0,18.0,0.4,2.0,1.4,0.8,0.5599999999999999
2022-06-29_Forge_vs_Valour,1.1538,3.0318,63.7,0,22.0,0.35,3.0,1.6,1.0499999999999998,0.5599999999999999
2022-06-30_Wanderers_vs_Atlético,4.742,3.3412,3682.4,3,17.0,0.35,1.2,1.0,0.42,0.35
2022-07-01_Pacific_vs_Cavalry,0.5,2.3643,728.6,-1,20.0,0.05,0.6,2.2,0.03,0.11000000000000001
2022-07-01_Edmonton_vs_York,1.6501,2.8444,2688.8,-2,23.0,0.3,1.4,0.2,0.42,0.06
2022-07-03_Forge_vs_Atlético,3.0,4.1538,1307.6,-1,26.0,0.3,2.8,1.0,0.84,0.3
2022-07-08_York_vs_Forge,2.3444,0.5318,63.7,0,26.0,0.3,0.2,2.0,0.06,0.6
2022-07-09_Edmonton_vs_Pacific,0.0,0.9509,901.8,1,23.0,0.3,1.4,0.8,0.42,0.24
2022-07-09_Atlético_vs_Cavalry,0.2035,3.2941,3588.1,3,26.0,0.3,1.0,2.4,0.3,0.72
2022-07-10_Valour_vs_Wanderers,1.2533,2.2877,2575.3,-2,26.0,0.3,1.4,1.0,0.42,0.3
2022-07-15_Cavalry_vs_Wanderers,2.9403,2.6033,1206.5,-1,23.0,0.3,2.4,1.0,0.72,0.3
2022-07-15_York_vs_Pacific,0.0,2.3444,2688.8,2,26.0,0.3,0.2,1.2,0.06,0.36
2022-07-19_Forge_vs_Edmonton,0.0318,2.3511,2702.2,2,26.0,0.3,1.6,1.6,0.48,0.48
2022-07-20_Cavalry_vs_York,0.5,3.8482,2696.4,-2,23.0,0.3,2.8,0.6,0.84,0.18
2022-07-20_Atlético_vs_Valour,0.0,1.3376,1675.3,1,26.0,0.3,0.8,1.6,0.24,0.48
2022-07-23_Pacific_vs_Cavalry,3.1917,3.8643,728.6,-1,20.0,0.05,2.0,2.0,0.1,0.1
2022-07-23_Wanderers_vs_Edmonton,3.3813,4.1538,1307.6,1,20.0,0.3,0.6,1.6,0.18,0.48
2022-07-23_Forge_vs_Valour,3.0,3.2035,407.0,0,26.0,0.3,2.0,1.6,0.6,0.48
2022-07-24_York_vs_Atlético,3.8482,3.1762,352.4,0,26.0,0.3,0.8,1.0,0.24,0.3
2022-07-28_Cavalry_vs_Forge,2.3643,3.8513,2702.6,-2,23.0,0.3,1.4,2.0,0.42,0.6
2022-07-30_Valour_vs_Pacific,1.2533,1.9571,1914.3,2,26.0,0.3,1.4,2.6,0.42,0.78
2022-07-30_Cavalry_vs_Edmonton,3.0,3.3813,3762.5,-3,23.0,0.3,1.0,1.6,0.3,0.48
2022-07-31_Atlético_vs_Forge,0.1762,5.4403,2880.6,2,26.0,0.3,1.6,2.4,0.48,0.72
2022-08-01_Wanderers_vs_York,0.0,1.1354,1270.8,1,20.0,0.3,0.8,0.6,0.24,0.18
2022-08-04_Valour_vs_Cavalry,1.5,2.6033,1206.5,1,25.0,0.25,1.0,1.2,0.25,0.3
2022-08-06_Forge_vs_Wanderers,0.7035,1.6538,1307.6,-1,25.0,0.25,3.2,0.6,0.8,0.15
2022-08-07_Atlético_vs_Edmonton,0.0,2.4403,2880.6,2,25.0,0.25,1.2,1.4,0.3,0.35
2022-08-07_Valour_vs_York,3.0,2.2877,2575.3,-2,25.0,0.25,1.2,1.4,0.3,0.35
2022-08-13_Cavalry_vs_Forge,1.1033,2.3513,2702.6,-2,22.0,0.25,0.6,3.0,0.15,0.75
2022-08-13_Wanderers_vs_Valour,1.1538,2.7877,2575.3,2,20.0,0.3,0.6,1.4,0.18,0.42
2022-08-13_Pacific_vs_Atlético,1.9571,3.2941,3588.1,-3,20.0,0.05,3.0,1.4,0.15000000000000002,0.06999999999999999
2022-08-14_York_vs_Edmonton,1.248,0.1762,352.4,0,25.0,0.25,1.4,1.0,0.35,0.25
2022-08-17_Atlético_vs_Wanderers,4.7941,2.4769,953.8,-1,25.0,0.25,1.2,0.8,0.3,0.2
2022-08-20_Wanderers_vs_Pacific,3.9769,4.242,4484.0,4,20.0,0.3,1.2,2.6,0.36,0.78
2022-08-20_Forge_vs_York,2.3513,0.0318,63.7,0,25.0,0.25,2.2,1.6,0.55,0.4
2022-08-21_Valour_vs_Edmonton,2.2877,1.248,1496.0,-1,25.0,0.25,1.2,1.0,0.3,0.25
2022-08-21_Cavalry_vs_Atlético,0.0,5.4403,2880.6,-2,22.0,0.25,1.0,1.6,0.25,0.4
2022-08-27_Cavalry_vs_York,0.5,2.3513,2702.6,-2,22.0,0.25,1.0,2.0,0.25,0.5
2022-08-27_Atlético_vs_Forge,2.4403,0.2035,407.0,0,25.0,0.25,1.6,1.8,0.4,0.45
2022-08-28_Valour_vs_Pacific,0.0,2.2877,2575.3,-2,25.0,0.25,1.2,2.0,0.3,0.5
