playerName,playerId,season,team,role,TotalShrunk,PercentileRank,ScoreDelta,PrevSeasonScore,AttackShrunk,DefenseShrunk,Minutes,Eligible,G_per_game,A_per_game,SOT_per_game,KP_per_game,Tackles_pg,PassPct,SavePct,GAA
D. Carreiro,cpl::Football_Player::392be6a9c97c4804a198cd3b34e93705,2019,Vaughan,midfielder,1.6677745650221854,61.8,,,4.6070044629335225,0.04960063391020879,1441,True,0.0869565217391304,0.0869565217391304,0.391304347826087,0.0869565217391304,0.43478260869565216,76.0,0.0,2.0
B. Smith,cpl::Football_Player::7f9d7ceadf134f2c802fd76f21983b46,2019,Pacific,defender,1.904055625297181,60.5,,,4.086652102587651,1.052012115452854,2004,True,0.0,0.2083333333333333,0.0,0.2083333333333333,1.0,82.0,0.0,1.84
A. Novak,cpl::Football_Player::337fb1e9243f40eeacf44fe5123d4089,2019,Forge,forward,5.194212102257703,60.0,,,5.791848932316492,-0.830850246230402,1113,True,0.3333333333333333,0.1666666666666666,0.7777777777777778,0.1666666666666666,0.3888888888888889,67.0,0.0,0.57
T. Henry,cpl::Football_Player::7c054612559b45f2a7ef690616b61862,2019,Forge,goalkeeper,1.6503384201624303,60.0,,,0.16981382492836275,3.1767084437497326,1980,True,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.77
D. Sacramento,cpl::Football_Player::635e5049325f4750a08ca52440ff5651,2019,Valour,midfielder,1.2960092674415644,58.8,,,1.0170658175413814,0.2193146864273287,1135,True,0.0555555555555555,0.0555555555555555,0.3333333333333333,0.0555555555555555,1.0555555555555556,73.0,0.0,1.51
L. MacNaughton,cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51,2019,,defender,1.8760646491653405,57.9,,,0.6442666900049235,-0.8009395993054067,1704,True,0.1,0.0,0.1,0.0,0.75,86.0,0.0,1.37
R. Gattas,cpl::Football_Player::6140d85c2a6949b78d0577605544363e,2019,York,forward,4.468994637994997,56.0,,,5.12099072806186,-0.04864315037433819,1958,True,0.3214285714285714,0.0,1.2857142857142858,0.0,0.5,77.0,0.0,1.29
N. Ledgerwood,cpl::Football_Player::3f9fd29f429f4cf7838256806a93e993,2019,Cavalry,midfielder,1.0097420204502758,55.9,,,2.1270860565254517,-0.18992303618846465,1317,True,0.15,0.05,0.45,0.05,1.3,64.0,0.0,0.62
J. Murrell,cpl::Football_Player::9a8c1c58c9cb40d0be8f066b13f3ba47,2019,Valour,defender,1.354780052577163,55.3,,,-2.2435972969913354,2.008811049886863,1784,True,0.0,0.0,0.15,0.0,1.35,77.0,0.0,1.66
W. Murofushi,cpl::Football_Player::0e6d9987204441a9a9d05ed9f620ce78,2019,York,midfielder,0.22732785050580004,52.9,,,0.3063372499682165,0.8794132094009075,1718,True,0.1304347826086956,0.0,0.391304347826087,0.0,1.2608695652173914,86.0,0.0,1.2
