playerName,season,team,position,role,GamesPlayed,Minutes,Goals,Assists,Shots,GoalInvolvements,ShotsOnTarget,KeyPasses,Tackles,FoulsCommitted,FoulsSuffered,Offsides,YellowCards,RedCards,PassPct,GAA,SavePct,G_per_game,A_per_game,S_per_game,SOT_per_game,KP_per_game,Minutes_per_game,playerId
D. Samuel,2020,Forge,Defender,defender,10,721,0,0,2,0,0,0,7,12,17,0,2,0,76.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,72.1,cpl::Football_Player::6981001867ad42d9b6d9bfc216cfab71
D. Zator,2020,Cavalry,Defender,defender,10,900,1,0,8,0,4,0,12,9,11,0,0,0,79.0,1.1,0.0,0.1,0.0,0.8,0.4,0.0,90.0,cpl::Football_Player::907ea07d836b4d78a6fd1c95e7081ee6
E. Adekugbe,2020,York,Midfielder,midfielder,9,638,1,1,5,0,4,1,9,7,20,1,2,0,86.0,1.41,0.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.1111111111111111,70.88888888888889,cpl::Football_Player::b78b9cf10b374d23824749c6e410990c
E. Carrasco,2020,York,Goalkeeper,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::e19c5e780a7347dcbb948ca726281b33
E. Cissé,2020,Forge,Midfielder,midfielder,8,539,0,0,5,0,3,0,12,10,12,1,0,0,80.0,1.17,0.0,0.0,0.0,0.625,0.375,0.0,67.375,cpl::Football_Player::9530e64bf7744102b3eeecd7fcf46c34
E. Ongaro,2020,Edmonton,Forward,forward,7,480,3,0,8,0,3,0,1,4,5,2,0,0,77.0,1.69,0.0,0.42857142857142855,0.0,1.1428571428571428,0.42857142857142855,0.0,68.57142857142857,cpl::Football_Player::a0c39d4aadea4642ba22743b4c68b23a
E. Simmons,2020,Vancouver FC,Midfielder,midfielder,10,627,0,0,1,0,0,0,6,9,1,0,1,0,82.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,62.7,cpl::Football_Player::6bda12878690489697b20b110e311ad1
E. Zetterberg,2020,Edmonton,Midfielder,midfielder,7,465,0,0,4,0,1,0,4,6,7,0,2,0,80.0,2.52,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,66.42857142857143,cpl::Football_Player::669592045b2e47929154e4fd2bbb5bdc
F. Acuña,2020,Atlético,Midfielder,midfielder,7,531,2,2,3,0,3,2,8,4,8,3,2,0,84.0,0.68,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,75.85714285714286,cpl::Football_Player::0f2270114a7f4e83a73a34f161dc9e16
F. Aird,2020,Cavalry,Defender,defender,6,453,1,0,9,0,7,0,2,10,5,0,3,0,76.0,1.39,0.0,0.16666666666666666,0.0,1.5,1.1666666666666667,0.0,75.5,cpl::Football_Player::41f23e52e26541bca62d8378fafc1953
F. Segawa,2020,York,Defender,defender,5,353,0,0,0,0,0,0,7,6,9,0,1,0,86.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,70.6,cpl::Football_Player::6256907c7f33461b865ece1a719ff279
G. Facchineri,2020,Valour,Defender,defender,5,206,0,0,1,0,0,0,8,5,2,0,0,0,82.0,3.06,0.0,0.0,0.0,0.2,0.0,0.0,41.2,cpl::Football_Player::8c250cb48a3648f2bfe78681f613b119
G. Wiethaeuper-Balbinotti,2020,Ottawa Fury,Forward,forward,6,203,0,0,5,0,1,0,2,8,3,3,1,0,62.0,1.33,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,33.833333333333336,cpl::Football_Player::44fb3fb969744342bac4a9ebfa751e21
Gabriel Vasconcelos,2020,York,Forward,forward,2,87,0,0,1,0,0,0,0,1,0,1,0,0,79.0,3.1,0.0,0.0,0.0,0.5,0.0,0.0,43.5,cpl::Football_Player::54bd7a3f34314464b660277f9eadf394
H. Boakai,2020,Edmonton,Forward,forward,6,309,0,0,3,0,2,0,3,5,5,0,0,0,89.0,1.46,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,51.5,cpl::Football_Player::de9e3e4ab3ca41d7ac62dcd9bc72970a
H. Sobze Zemo,2020,Atlético,Goalkeeper,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::beca7bab90be4d31a7ff77853f824bea
I. Halley,2020,York,Forward,forward,4,157,0,0,2,0,2,0,1,5,7,2,0,0,75.0,1.15,0.0,0.0,0.0,0.5,0.5,0.0,39.25,cpl::Football_Player::5113470034d346478fcfd237037f2971
I. Sanoh,2020,Wanderers,Forward,forward,5,124,1,0,3,0,1,0,0,1,2,1,0,0,56.0,3.63,0.0,0.2,0.0,0.6,0.2,0.0,24.8,cpl::Football_Player::c9180268639c4deab949baa197a52103
J. Altobelli,2020,York,Forward,forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::96d163c606db462b80071516a2d4772b
J. Beaulieu,2020,Wanderers,Goalkeeper,goalkeeper,4,360,0,0,0,0,0,0,0,2,3,0,1,0,68.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::47dc6e2b3ef94651abd804e8ba91936c
J. Brown,2020,Cavalry,Forward,forward,10,657,3,0,13,0,7,0,2,13,5,2,0,0,82.0,1.1,0.0,0.3,0.0,1.3,0.7,0.0,65.7,cpl::Football_Player::2a0dc42d1dba4748a99b39aa920f7497
J. Córdova,2020,Cavalry,Forward,forward,4,71,1,0,2,0,1,0,0,0,1,1,0,0,63.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,17.75,cpl::Football_Player::597b3ee52baf4b08a34e62c2a682fa7f
J. Di Chiara,2020,York,Midfielder,midfielder,6,540,3,0,8,0,6,0,9,15,20,1,5,0,87.0,1.17,0.0,0.5,0.0,1.3333333333333333,1.0,0.0,90.0,cpl::Football_Player::316e45756fc44527ada7b1ea025918b0
J. Dixon,2020,Ottawa Fury,Defender,defender,9,616,1,0,4,0,2,0,9,17,5,0,3,0,79.0,1.46,0.0,0.1111111111111111,0.0,0.4444444444444444,0.2222222222222222,0.0,68.44444444444444,cpl::Football_Player::aafb864d45ab43e8849d3cff096d5c07
J. Dunn,2020,Wanderers,Defender,defender,7,630,0,0,0,0,0,0,8,8,3,0,0,0,82.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::360a1cff07aa439cb939b0d0d222b08c
J. Dunstan,2020,Forge,Defender,defender,6,254,0,0,0,0,0,0,3,7,2,0,0,0,77.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,42.333333333333336,cpl::Football_Player::5f53ec18a0924d87ad1584a54346e758
J. Esua,2020,Edmonton,Defender,defender,7,617,0,0,4,0,1,0,3,6,17,2,1,0,82.0,2.04,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,88.14285714285714,cpl::Football_Player::a766cd1734d84307a9ace241b64d8ed2
J. Geffrard,2020,Wanderers,Defender,defender,11,945,0,0,3,0,2,0,4,8,5,0,1,0,82.0,1.43,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,85.9090909090909,cpl::Football_Player::340468323f3841eb8a68a4adfc0f1a9f
J. Grant,2020,Atlético,Defender,defender,4,274,0,0,2,0,0,0,1,15,3,2,2,0,62.0,0.33,0.0,0.0,0.0,0.5,0.0,0.0,68.5,cpl::Football_Player::3aaf25a2f090423584d5e9d492e5ca42
J. Haynes,2020,Valour,Defender,defender,8,465,0,0,0,0,0,0,7,4,5,0,2,0,71.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,58.125,cpl::Football_Player::9fa7232743934bf2a022c4fe6a62c1b6
J. Heard,2020,Pacific,Forward,forward,5,218,1,1,5,0,1,1,1,8,9,0,1,0,72.0,1.65,0.0,0.2,0.2,1.0,0.2,0.2,43.6,cpl::Football_Player::df0de20d12274b3d9549323a3547572b
J. Hernández,2020,Scottish,Forward,forward,3,102,0,0,1,0,0,0,3,5,2,2,1,0,82.0,2.65,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,34.0,cpl::Football_Player::32ac22e018504c2f98dc4d3c64e42803
J. Kotsopoulos,2020,Forge,Forward,forward,1,28,0,0,0,0,0,0,2,0,0,0,0,0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,cpl::Football_Player::c45fe355ff194e53bcb0907c5b08814c
J. Pantemis,2020,Montréal,Goalkeeper,goalkeeper,7,630,0,0,0,0,0,0,0,0,1,0,0,0,74.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,90.0,cpl::Football_Player::0043bfae03d74a4da54333508b314ace
J. Phillips,2020,Vaughan,Defender,defender,5,290,0,0,0,0,0,0,7,2,4,0,0,0,65.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,58.0,cpl::Football_Player::6e1b99de8a2449b280f5b03505b74f6e
J. Ruby,2020,Wanderers,Defender,defender,8,312,0,0,2,0,2,0,6,5,9,1,1,0,72.0,2.6,0.0,0.0,0.0,0.25,0.25,0.0,39.0,cpl::Football_Player::29e56c09baf549469b4a5934262e3dbf
J. Wheeldon,2020,Cavalry,Defender,defender,6,459,0,0,1,0,0,0,2,10,2,0,1,1,83.0,1.18,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,76.5,cpl::Football_Player::65d2bf4929274b6f94dbbb949093b783
J. Williams,2020,Wanderers,Goalkeeper,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cpl::Football_Player::73977448c290436b91cca653ba3a2c13
José Galán,2020,Valour,Midfielder,midfielder,5,310,1,1,4,0,1,1,10,9,4,0,2,0,86.0,1.74,0.0,0.2,0.2,0.8,0.2,0.2,62.0,cpl::Football_Player::3f6a675727214bcc96972b28a2e3dbf8
João Morelli,2020,Wanderers,Forward,forward,9,561,4,1,11,0,7,1,2,13,12,1,0,1,70.0,1.76,0.0,0.4444444444444444,0.1111111111111111,1.2222222222222223,0.7777777777777778,0.1111111111111111,62.333333333333336,cpl::Football_Player::751e68a27d374a64b9646c08102f6daf
K. Alemán,2020,Scrosoppi,Midfielder,midfielder,7,537,1,0,7,0,1,0,8,6,18,1,1,0,82.0,1.84,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,0.0,76.71428571428571,cpl::Football_Player::5ce4b7ace82243faa7b342751ac3a642
K. Awuah,2020,Forge,Defender,defender,11,842,1,0,2,0,2,0,16,11,11,1,1,0,72.0,0.75,0.0,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,76.54545454545455,cpl::Football_Player::dbae960e1a0c4c7ba2104c9a904d6ab5
K. Bekker,2020,Forge,Midfielder,midfielder,11,879,3,1,9,0,5,1,6,14,15,0,1,0,77.0,0.92,0.0,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.45454545454545453,0.09090909090909091,79.9090909090909,cpl::Football_Player::0e2b6aa5fbdf49f399441b22b356d14c
K. Chung,2020,Pacific,Defender,defender,9,765,0,1,0,0,0,1,16,4,7,0,1,0,83.0,1.29,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,85.0,cpl::Football_Player::edf6ef9ee973485dbbf8b5123cf83a94
K. Moses,2020,Edmonton,Defender,defender,4,140,0,0,3,0,0,0,1,3,1,0,0,0,81.0,3.21,0.0,0.0,0.0,0.75,0.0,0.0,35.0,cpl::Football_Player::b81cbecf6fd24278954a45cb13e12632
K. Porter,2020,Ottawa Fury,Forward,forward,6,372,1,1,3,0,2,1,2,4,4,1,0,0,86.0,0.97,0.0,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,62.0,cpl::Football_Player::a3da6283599541849144b5b108dbc67b
K. Thomas,2020,Forge,Forward,forward,9,283,0,1,3,0,1,1,11,11,7,3,1,0,74.0,0.64,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,31.444444444444443,cpl::Football_Player::4feb899db58341fb9d242a518bac60ad
K. Çela,2020,Forge,Defender,defender,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cpl::Football_Player::347018d8099042888a6076bd0cea0744
